Rank,Package,PyPI Link,GitHub Link
1,pip,https://pypi.org/project/pip/,https://github.com/pypa/pip
2,setuptools,https://pypi.org/project/setuptools/,https://github.com/pypa/setuptools
3,wheel,https://pypi.org/project/wheel/,https://github.com/pypa/wheel
4,six,https://pypi.org/project/six/,https://github.com/benjaminp/six
5,requests,https://pypi.org/project/requests/,https://github.com/psf/requests
6,urllib3,https://pypi.org/project/urllib3/,https://github.com/urllib3/urllib3
7,certifi,https://pypi.org/project/certifi/,https://github.com/certifi/python-certifi
8,idna,https://pypi.org/project/idna/,https://github.com/kjd/idna
9,chardet,https://pypi.org/project/chardet/,https://github.com/chardet/chardet
10,PyYAML,https://pypi.org/project/PyYAML/,https://github.com/yaml/pyyaml
11,numpy,https://pypi.org/project/numpy/,https://github.com/numpy/numpy
12,pandas,https://pypi.org/project/pandas/,https://github.com/pandas-dev/pandas
13,scipy,https://pypi.org/project/scipy/,https://github.com/scipy/scipy
14,matplotlib,https://pypi.org/project/matplotlib/,https://github.com/matplotlib/matplotlib
15,tqdm,https://pypi.org/project/tqdm/,https://github.com/tqdm/tqdm
16,beautifulsoup4,https://pypi.org/project/beautifulsoup4/,https://github.com/akalongman/python-beautifulsoup
17,lxml,https://pypi.org/project/lxml/,https://github.com/lxml/lxml
18,pytest,https://pypi.org/project/pytest/,https://github.com/pytest-dev/pytest
19,pytest-cov,https://pypi.org/project/pytest-cov/,https://github.com/pytest-dev/pytest-cov
20,coverage,https://pypi.org/project/coverage/,https://github.com/nedbat/coveragepy
21,virtualenv,https://pypi.org/project/virtualenv/,https://github.com/pypa/virtualenv
22,Flask,https://pypi.org/project/Flask/,https://github.com/pallets/flask
23,Django,https://pypi.org/project/Django/,https://github.com/django/django
24,SQLAlchemy,https://pypi.org/project/SQLAlchemy/,https://github.com/sqlalchemy/sqlalchemy
25,attrs,https://pypi.org/project/attrs/,https://github.com/python-attrs/attrs
26,click,https://pypi.org/project/click/,https://github.com/pallets/click
27,Jinja2,https://pypi.org/project/Jinja2/,https://github.com/pallets/jinja
28,Werkzeug,https://pypi.org/project/Werkzeug/,https://github.com/pallets/werkzeug
29,MarkupSafe,https://pypi.org/project/MarkupSafe/,https://github.com/pallets/markupsafe
30,itsdangerous,https://pypi.org/project/itsdangerous/,https://github.com/pallets/itsdangerous
31,psutil,https://pypi.org/project/psutil/,https://github.com/giampaolo/psutil
32,Pillow,https://pypi.org/project/Pillow/,https://github.com/python-pillow/Pillow
33,pyparsing,https://pypi.org/project/pyparsing/,https://github.com/pyparsing/pyparsing
34,packaging,https://pypi.org/project/packaging/,https://github.com/pypa/packaging
35,colorama,https://pypi.org/project/colorama/,https://github.com/tartley/colorama
36,pytz,https://pypi.org/project/pytz/,https://github.com/stub42/pytz
37,python-dateutil,https://pypi.org/project/python-dateutil/,https://github.com/dateutil/dateutil
38,Pygments,https://pypi.org/project/Pygments/,https://github.com/pygments/pygments
39,Sphinx,https://pypi.org/project/Sphinx/,https://github.com/sphinx-doc/sphinx
40,docutils,https://pypi.org/project/docutils/,https://github.com/docutils-mirror/docutils
41,boto3,https://pypi.org/project/boto3/,https://github.com/boto/boto3
42,botocore,https://pypi.org/project/botocore/,https://github.com/boto/botocore
43,s3transfer,https://pypi.org/project/s3transfer/,https://github.com/boto/s3transfer
44,jmespath,https://pypi.org/project/jmespath/,https://github.com/jmespath/jmespath.py
45,awscli,https://pypi.org/project/awscli/,https://github.com/aws/aws-cli
46,pyasn1,https://pypi.org/project/pyasn1/,https://github.com/etingof/pyasn1
47,rsa,https://pypi.org/project/rsa/,https://github.com/sybrenstuvel/python-rsa
48,google-auth,https://pypi.org/project/google-auth/,https://github.com/googleapis/google-auth-library-python
49,cryptography,https://pypi.org/project/cryptography/,https://github.com/pyca/cryptography
50,paramiko,https://pypi.org/project/paramiko/,https://github.com/paramiko/paramiko
51,pyOpenSSL,https://pypi.org/project/pyOpenSSL/,https://github.com/pyca/pyopenssl
52,scikit-learn,https://pypi.org/project/scikit-learn/,https://github.com/scikit-learn/scikit-learn
53,tensorflow,https://pypi.org/project/tensorflow/,https://github.com/tensorflow/tensorflow
54,keras,https://pypi.org/project/keras/,https://github.com/keras-team/keras
55,torch,https://pypi.org/project/torch/,https://github.com/pytorch/pytorch
56,transformers,https://pypi.org/project/transformers/,https://github.com/huggingface/transformers
57,fastapi,https://pypi.org/project/fastapi/,https://github.com/tiangolo/fastapi
58,uvicorn,https://pypi.org/project/uvicorn/,https://github.com/encode/uvicorn
59,starlette,https://pypi.org/project/starlette/,https://github.com/encode/starlette
60,pydantic,https://pypi.org/project/pydantic/,https://github.com/pydantic/pydantic
61,aiohttp,https://pypi.org/project/aiohttp/,https://github.com/aio-libs/aiohttp
62,asyncio,https://pypi.org/project/asyncio/,https://github.com/python/asyncio
63,httpx,https://pypi.org/project/httpx/,https://github.com/encode/httpx
64,gunicorn,https://pypi.org/project/gunicorn/,https://github.com/benoitc/gunicorn
65,celery,https://pypi.org/project/celery/,https://github.com/celery/celery
66,redis,https://pypi.org/project/redis/,https://github.com/redis/redis-py
67,pymongo,https://pypi.org/project/pymongo/,https://github.com/mongodb/mongo-python-driver
68,sqlparse,https://pypi.org/project/sqlparse/,https://github.com/andialbrecht/sqlparse
69,psycopg2,https://pypi.org/project/psycopg2/,https://github.com/psycopg/psycopg2
70,mysql-connector-python,https://pypi.org/project/mysql-connector-python/,https://github.com/mysql/mysql-connector-python
71,alembic,https://pypi.org/project/alembic/,https://github.com/sqlalchemy/alembic
72,pytest-xdist,https://pypi.org/project/pytest-xdist/,https://github.com/pytest-dev/pytest-xdist
73,pytest-asyncio,https://pypi.org/project/pytest-asyncio/,https://github.com/pytest-dev/pytest-asyncio
74,pytest-mock,https://pypi.org/project/pytest-mock/,https://github.com/pytest-dev/pytest-mock
75,pytest-django,https://pypi.org/project/pytest-django/,https://github.com/pytest-dev/pytest-django
76,pytest-flask,https://pypi.org/project/pytest-flask/,https://github.com/pytest-dev/pytest-flask
77,pytest-timeout,https://pypi.org/project/pytest-timeout/,https://github.com/pytest-dev/pytest-timeout
78,pytest-html,https://pypi.org/project/pytest-html/,https://github.com/pytest-dev/pytest-html
79,pytest-sugar,https://pypi.org/project/pytest-sugar/,https://github.com/Teemu/pytest-sugar
80,pytest-bdd,https://pypi.org/project/pytest-bdd/,https://github.com/pytest-dev/pytest-bdd
81,pytest-cache,https://pypi.org/project/pytest-cache/,https://github.com/pytest-dev/pytest-cache
82,pytest-instafail,https://pypi.org/project/pytest-instafail/,https://github.com/pytest-dev/pytest-instafail
83,pytest-rerunfailures,https://pypi.org/project/pytest-rerunfailures/,https://github.com/pytest-dev/pytest-rerunfailures
84,pytest-selenium,https://pypi.org/project/pytest-selenium/,https://github.com/pytest-dev/pytest-selenium
85,pytest-celery,https://pypi.org/project/pytest-celery/,https://github.com/pytest-dev/pytest-celery
86,pytest-aiohttp,https://pypi.org/project/pytest-aiohttp/,https://github.com/aio-libs/pytest-aiohttp
87,pytest-postgresql,https://pypi.org/project/pytest-postgresql/,https://github.com/ClearcodeHQ/pytest-postgresql
88,pytest-redis,https://pypi.org/project/pytest-redis/,https://github.com/ClearcodeHQ/pytest-redis
89,pytest-docker,https://pypi.org/project/pytest-docker/,https://github.com/AndreLouisCaron/pytest-docker
90,pytest-cov,https://pypi.org/project/pytest-cov/,https://github.com/pytest-dev/pytest-cov
